name,type,wattage
Chieftec Force CPS-650S,ATX,650
Chieftec Force CPS-750S,ATX,750
Chieftec IArena Serie GPA-350B8,ATX,350
Chieftec IArena Serie GPA-350S8,ATX,350
Chieftec IArena Serie GPA-400B8,ATX,400
Chieftec IArena Serie GPA-400S8,ATX,400
Chieftec IArena Serie GPA-450B8,ATX,450
Chieftec IArena Serie GPA-450S8,ATX,450
Chieftec IArena Serie GPA-500S8,ATX,500
Chieftec IArena Serie GPB-300S,ATX,300
Chieftec IArena Serie GPB-350S,ATX,350
Chieftec IArena Serie GPB-400S,ATX,400
Chieftec IArena Serie GPB-450S,ATX,450
Chieftec IArena Serie GPB-500S,ATX,500
Chieftec MRG-5800V redundantes 80 PLUS - 2x 800 Watt,redundant,800
Chieftec MRG-6500P - 2x 500 Watt,redundant,500
Chieftec MRT-5320G redundantes 80 PLUS Gold - 2x 320 Watt,redundant,320
Chieftec Navitas,ATX,1250
Chieftec Navitas 80 PLUS Gold,ATX,1000
Chieftec Navitas Serie GPM-450S,ATX,450
Chieftec Navitas Serie GPM-550S,ATX,550
Chieftec Navitas Serie GPM-650S,ATX,650
Chieftec Navitas Serie GPM-750S,ATX,750
Chieftec Power Smart 80 PLUS Gold,ATX,1250
Chieftec Power Smart 80 PLUS Gold,ATX,1450
Chieftec Power Smart 80 PLUS Gold,ATX,1350
Chieftec PSF-400B 80 PLUS Bronze,ATX,400
Chieftec Smart Serie GPS-400A8,ATX,400
Chieftec Smart Serie GPS-500A8,ATX,500
Chieftec Smart Serie GPS-600A8,ATX,600
Chieftec Smart Serie GPS-700A8,ATX,700
Chieftec Smart Serie SFX-350BS,SFX,350
Chieftec Smart Serie SFX-450BS,SFX,450
Chieftec Smart Serie SFX-500GD-C,SFX-L,500
Chieftec Smart Series TFX 250P 80 PLUS Bronze,TFX,250
Cooler Master GX2 850 Gold,ATX,850
Cooler Master MasterWatt,ATX,550
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,750
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,650
Cooler Master MWE Gold V2,ATX,850
Cooler Master MWE Gold V2,ATX,750
Cooler Master V-Series SFX,SFX,850
Cooler Master V-Series SFX,SFX,750
Corsair AX1000 High Performance,ATX,1000
Corsair AX1500i Digital ATX Power Supply,ATX,1500
Corsair AX760i Digital ATX Power Supply,ATX,760
Corsair AX850 High Performance,ATX,850
Corsair Builder Series CX450,ATX,450
Corsair Builder Series CX450M Modular,ATX,450
Corsair Builder Series CX500,ATX,500
Corsair Builder Series CX550,ATX,550
Corsair Builder Series CX550M Modular,ATX,550
Corsair Builder Series CX600,ATX,600
Corsair Builder Series CX650,ATX,650
Corsair Builder Series CX650M Modular,ATX,650
Corsair Builder Series CX750,ATX,750
Corsair Builder Series CX750 Rev. 2,ATX,750
Corsair Builder Series CX750M Modular,ATX,750
Corsair Builder Series CX850M Modular,ATX,850
Corsair CS-M Series CS550M Modular,ATX,550
Corsair CS-M Series CS650M Modular,ATX,650
Corsair CS-M Series CS750M Modular,ATX,750
Corsair CS-M Series CS850M Modular,ATX,850
Corsair CV Series CV450,ATX,450
Corsair CV Series CV550,ATX,550
Corsair CV Series CV650,ATX,650
Corsair CV Series CV650 Dual EPS,ATX,650
Corsair CX550F RGB,ATX,550
Corsair CX550F RGB,ATX,550
Corsair CX550M,ATX,550
Corsair CX650,ATX,650
Corsair CX650F RGB,ATX,650
Corsair CX650F RGB,ATX,650
Corsair CX650M,ATX,650
Corsair CX750,ATX,750
Corsair CX750F RGB,ATX,750
Corsair CX750F RGB,ATX,750
Corsair CX750M,ATX,750
Corsair CX850M,ATX,850
Corsair HX1000,ATX,1000
Corsair HX1000 High Performance,ATX,1000
Corsair HX1000i High Performance,ATX,1000
Corsair HX1000i High-Performance ATX Power Supply,ATX,1000
Corsair HX1200 High Performance,ATX,1200
Corsair HX1200i High Performance,ATX,1200
Corsair HX750,ATX,750
Corsair HX750 High Performance,ATX,750
Corsair HX750i High Performance,ATX,750
Corsair HX750i High-Performance ATX Power Supply,ATX,750
Corsair HX850,ATX,850
Corsair HX850 High Performance,ATX,850
Corsair HX850i High Performance,ATX,850
Corsair HX850i High-Performance ATX Power Supply,ATX,850
Corsair HXi Series HX1000i,ATX PS/2,1000
Corsair HXi Series HX1200i,ATX,1200
Corsair HXi Series HX1500i,ATX PS/2,1500
Corsair Professional Platinum Series AX1200i,ATX,1200
Corsair Professional Platinum Series AX1500i,ATX,1500
Corsair Professional Platinum Series AX1600i,ATX,1600
Corsair Professional Platinum Series AX760,ATX,760
Corsair Professional Platinum Series AX860,ATX,860
Corsair Professional Platinum Series AX860I,ATX,860
Corsair RM Series RM650,ATX,650
Corsair RM Series RM650i,ATX,650
Corsair RM Series RM750 (2021),ATX,750
Corsair RM Series RM750i,ATX,750
Corsair RM Series RM850 (2021),ATX,850
Corsair RM1000,ATX,1000
Corsair RM1000x,ATX,1000
Corsair RM650i,ATX,650
Corsair RM650x,ATX,650
Corsair RM850i,ATX,850
Corsair RM850x,ATX,850
Corsair RM850x,ATX,850
Corsair RMe Series RM750e,ATX,750
Corsair RMX Series (2021) RM1000x,ATX,1000
Corsair RMX Series (2021) RM550x,ATX,550
Corsair RMX Series (2021) RM650x,ATX,650
Corsair RMX Series (2021) RM750x,ATX,750
Corsair RMX Series 2018 RMX750 - white,ATX,750
Corsair RMX Series 2018 RMX850,ATX,850
Corsair RMX Series RMX750 - white,ATX,750
Corsair RMX Series RMX850,ATX,850
Corsair RMx Shift Series RM750x,ATX PS/2,750
Corsair SF Series SF450 80 PLUS Platinum SFX,SFX,450
Corsair SF Series SF600 80 PLUS Gold SFX,SFX,600
Corsair SF Series SF600 80 PLUS Platinum SFX,SFX,600
Corsair SF Series SF750 80 PLUS Platinum SFX,SFX,750
Corsair SF450,SFX,450
Corsair SF600,SFX,600
Corsair Vengeance Series V650M,ATX,650
Corsair VS Series VS350,ATX,350
Corsair VS Series VS450,ATX,450
Corsair VS Series VS450,ATX,450
Corsair VS Series VS550,ATX,550
Corsair VS Series VS550,ATX,550
Corsair VS Series VS650,ATX,650
Corsair VS Series VS650,ATX,650
Corsair VS400,ATX,400
Corsair VS500,ATX,500
Corsair VS600,ATX,600
Cougar CMD 500 digitales,ATX,500
Cougar CMD 600 digitales,ATX,600
Cougar GX 1050 V3,ATX,1050
Cougar GX 600 V3,ATX,600
Cougar GX 800 V3,ATX,800
Cougar GX-F,ATX,750
Cougar GX-F,ATX,650
Cougar GX-F,ATX,550
Cougar GX-S,ATX,750
Cougar GX-S,ATX,650
Cougar GX-S,ATX,550
Cougar GX-S,ATX,450
Cougar LX500,ATX,500
Cougar LX600,ATX,600
Cougar STX,ATX,750
Cougar STX,ATX,550
Cougar STX,ATX,650
Cougar STX,ATX,450
Cougar STX,ATX,350
Cougar VTX,ATX,700
Cougar VTX,ATX,600
Cougar VTX,ATX,500
Cougar VTX,ATX,400
Enermax Digifanless digitales,ATX,550
Enermax Maxpro,ATX,500
Enermax Platimax,ATX,750
Enermax Platimax,ATX,1000
Enermax Platimax,ATX,1700
Enermax Platimax,ATX,850
Enermax Platimax D.F.,ATX,600
Enermax Platimax D.F. 80 PLUS Platin,ATX,500
Enermax Revolution87+,ATX,850
EVGA,ATX,430
EVGA 1000GQ,ATX,1000
EVGA 400 N1,ATX,400
EVGA 430 W1,ATX,430
EVGA 450 B3,ATX,450
EVGA 450 BT,ATX,450
EVGA 450 BV,ATX,450
EVGA 500 B1,ATX,500
EVGA 500 BQ,ATX,500
EVGA 500 BV,ATX,500
EVGA 500 W1,ATX,500
EVGA 550 B3,ATX,550
EVGA 550 N1,ATX,550
EVGA 600 B1,ATX,600
EVGA 600 BQ,ATX,600
EVGA 600 W1,ATX,600
EVGA 650 B3,ATX,650
EVGA 650 BQ,ATX,650
EVGA 650 GQ,ATX,650
EVGA 650 N1,ATX,650
EVGA 700 B1,ATX,700
EVGA 700B,ATX,700
EVGA 750 B3,ATX,750
EVGA 750 GQ,ATX,750
EVGA 750 N1,ATX,750
EVGA 850 B3,ATX,850
EVGA 850 BQ,ATX,850
EVGA 850 GQ,ATX,850
EVGA B3,ATX,850
EVGA B3,ATX,750
EVGA B3,ATX,650
EVGA B3,ATX,550
EVGA B3,ATX,450
EVGA BQ,ATX,850
EVGA BQ,ATX,750
EVGA BQ,ATX,650
EVGA BQ,ATX,600
EVGA BQ,ATX,500
EVGA SuperNOVA 1000 G2,ATX,1000
EVGA SuperNOVA 1000 P2,ATX,1000
EVGA SuperNOVA 1000 PS,ATX,1000
EVGA SuperNOVA 1000 T2,ATX,1000
EVGA SuperNOVA 1050 GS,ATX,1050
EVGA SuperNOVA 1200 P2,ATX,1200
EVGA SuperNOVA 1300 G2,ATX,1300
EVGA SuperNOVA 1600 G2,ATX,1600
EVGA SuperNOVA 1600 P2,ATX,1600
EVGA SuperNOVA 1600 T2,ATX,1600
EVGA SuperNOVA 550 G2,ATX,550
EVGA SuperNOVA 550 GS,ATX,550
EVGA SuperNOVA 650 G1,ATX,650
EVGA SuperNOVA 650 G2,ATX,650
EVGA SuperNOVA 650 P2,ATX,650
EVGA SuperNOVA 750 B1,ATX,750
EVGA SuperNOVA 750 B2,ATX,750
EVGA SuperNOVA 750 G1,ATX,750
EVGA SuperNOVA 750 G2,ATX,750
EVGA SuperNOVA 750 P2,ATX,750
EVGA SuperNOVA 750 T2,ATX,750
EVGA SuperNOVA 850 B2,ATX,850
EVGA Supernova 850 G2L,ATX,850
EVGA SuperNOVA 850 G3,ATX,850
EVGA SuperNOVA 850 GS,ATX,850
EVGA SuperNOVA 850 P2,ATX,850
EVGA SuperNOVA 850 T2,ATX,850
EVGA SuperNOVA G1,ATX,1000
EVGA SuperNOVA G1,ATX,650
EVGA SuperNOVA G2,ATX,850
EVGA SuperNOVA G2L,ATX,850
EVGA SuperNOVA G2L 80 PLUS Gold,ATX,750
EVGA SuperNOVA G3,ATX,550
EVGA SuperNOVA G3,ATX,650
EVGA SuperNOVA G3,ATX,850
EVGA SuperNOVA GQ,ATX,1000
EVGA SuperNOVA GQ,ATX,850
EVGA SuperNOVA GQ,ATX,750
EVGA SuperNOVA GQ,ATX,650
EVGA SuperNOVA GS 550,ATX,550
EVGA SuperNOVA P2,ATX,1200
