name,supported_socket,type
Alphacool Eisbaer Extreme Liquid Processor Cooler 280 - Black Edition,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4, AM5, 1700",AIO
"Alphacool Eisbaer Pro Aurora 240 Processor , D-RGB","2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",AIO
"Alphacool Eisbaer Pro Aurora 360 Processor , D-RGB","2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",AIO
"Alphacool Eisbaer Pro Aurora 420 Processor , D-RGB","TRX40, 1700, 2011-V3, 4189, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5",AIO
Antec  K240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Antec A30  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Antec A40 PRO  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Antec A400 RGB Processor Kühler,"AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Antec C40  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Antec C400  - 120mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Antec Mercury 120,"1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",AIO
Arctic Alpine 11 GT Rev. 2,"775, 1155, 1156, 1150",Air
Arctic Alpine 11 passiv,"1150, 1151, 1155, 1156",Air
Arctic Alpine 12  - 92mm,"1150, 1151, 1155, 1156",Air
Arctic Alpine 12 CO  - 92mm,"1150, 1151, 1155, 1156",Air
Arctic Alpine 12 LP Low-Profile  - 92mm,"1150, 1151, 1155, 1156",Air
Arctic Alpine 12 passiver  - black,"1150, 1151, 1155, 1156",Air
Arctic Alpine 17,1700,Air
Arctic Alpine 17 CO,1700,Air
Arctic Alpine 64 GT  - 80mm,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Alpine 64 plus  - 92mm,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Alpine 64 Pro Rev.2  - 92mm,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Alpine AM4  - 92mm,AM4,Air
"Arctic Alpine AM4 passiver , black",AM4,Air
Arctic Alpine M1 aktiv,AM1,Air
Arctic Alpine M1 passiv,AM1,Air
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2  for Intel,"775 , 1155 , 1156 , 1150",Air
ARCTIC COOLING ACALP64 Pro 92mm,"AM3, AM2+, AM2, 939, 754",Air
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",Air
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel  for Power Users,"1150,1155,1156,775",Air
ARCTIC COOLING ACFZ13 92mm High Performance  for Intel and AMD,"754 , 939 , AM2 , AM2+ , AM3,   1150 ,  775 ,   1155 ,  1156 ,  1366",Air
ARCTIC COOLING Alpine M1 80mm Fluid Dynamic,AM1,Air
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,"1150 ,  1366 ,  1156 ,  1155 ,  775, AM3 , AM2+ , AM2 , 939 , 754",Air
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic  with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,"FM2, FM1, AM3, AM2",Air
ARCTIC COOLING Freezer i32 120mm Fluid Dynamic  with 120 mm Fan for Intel with New Fan Controller Made in Germany and PWM PST,"2011, 1150, 1151, 1155, 1156",Air
"ARCTIC COOLING Freezer i32 CO 120mm Dual Ball Bearing  with 120 mm PWM PST, Dual Ball Bearing for Continuous Operation","2011, 1150, 1151, 1155, 1156",Air
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,"AM2, AM2+, AM3, AM3+, FM1, FM2",Air
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,"2011 ,  1150 , 1155 , 1156",Air
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",Air
Arctic Freezer 11 LP  - 92mm,"1150, 1151, 1155, 1156, 775",Air
Arctic Freezer 12  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",Air
Arctic Freezer 12 CO  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",Air
Arctic Freezer 13  - 92mm,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Freezer 13 Continuous Operation  - 92mm,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Arctic Freezer 33 eSports One , white - 120mm","1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",Air
"Arctic Freezer 33 TR , red - 120mm","2011, 2011-V3, 2066, AM4, TR4",Air
"Arctic Freezer 33 TR , white - 120mm","2011, 2011-V3, 2066, AM4, TR4",Air
Arctic Freezer 34 CO  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",Air
Arctic Freezer 34 eSports,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",Air
"Arctic Freezer 34 eSports , 120mm - red","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",Air
"Arctic Freezer 34 eSports , 120mm - white","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",Air
Arctic Freezer 50 ARGB - 120mm/140mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4",Air
"Arctic Freezer 50 TR - ARGB, 120mm/140mm","TR4, sTRX4",Air
Arctic Freezer 7 Pro PWM Rev.2  - 92mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Freezer 7X  - 92mm,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, FM2+, FM2, FM1",Air
Arctic Freezer A13X,AM4,Air
Arctic Freezer A13X CO,AM4,Air
Arctic Freezer A35 ARGB,"AM5, AM4",Air
Arctic Freezer i11 CO,"1150, 1151, 1155, 1156, 2011, 2011-V3",Air
Arctic Freezer i13X,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066",Air
Arctic Freezer i13X CO,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066",Air
Arctic Freezer i32 CO,"1150, 1151, 1155, 1156, 2011, 2011-V3",Air
Arctic Freezer i35 ARGB,"1700, 1200, 1150, 1151, 1155",Air
Arctic Freezer Xtreme Rev.2  - 120mm,"1150, 1151, 1155, 1156, 1366, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Arctic Liquid Freezer Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",AIO
Arctic Liquid Freezer II ARGB Processor,"2066, 2011-V3, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Arctic Liquid Freezer II Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",AIO
Arctic Liquid Freezer II Processor,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM3, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
ASUS ProArt LC 420  - black,"1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
ASUS ROG RYUJIN 360,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Ryujin II 240  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
"ASUS ROG Ryujin II 240 ARGB  , black","2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",AIO
ASUS ROG Ryujin II 240 ARGB  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG Ryujin II 360  - black,"1152, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG RYUJIN II 360  - black,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG Ryujin II 360 ARGB  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG RYUJIN II 360 ARGB  - black,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG RYUO 120,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4",AIO
ASUS ROG RYUO 240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
"ASUS ROG Ryuo III 240 ARGB  - 240 mm, black","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 240 ARGB  - 240 mm, white","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 360 ARGB  - 360 mm, black","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 360 ARGB  - 360 mm, white","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
ASUS ROG Strix LC 120,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
