name,capacity,type,unit,form_factor
Kingston Now KC400 512GB MLC,512,SSD,GB,2.5
Kingston Now KC400 512GB MLC,512,SSD,GB,2.5
Kingston Now mS200 120GB MLC,120,SSD,GB,2.5
Kingston Now mS200 480GB MLC,480,SSD,GB,2.5
Kingston Now mS200 60GB MLC,60,SSD,GB,2.5
Kingston Now UV400 120GB TLC,120,SSD,GB,2.5
Kingston Now UV400 240GB TLC,240,SSD,GB,2.5
Kingston Now UV400 480GB TLC,480,SSD,GB,2.5
Kingston Now UV400 960GB TLC,960,SSD,GB,2.5
Kingston Now V300 120GB MLC,120,SSD,GB,2.5
Kingston Now V300 120GB MLC,120,SSD,GB,2.5
Kingston Now V300 60GB MLC,60,SSD,GB,2.5
Kingston NV1 NVMe 1000 GB,1,SSD,TB,m.2
Kingston NV1 NVMe 2000 GB,2,SSD,TB,m.2
Kingston NV1 NVMe 250 GB,250,SSD,GB,m.2
Kingston NV1 NVMe 500 GB,500,SSD,GB,m.2
Kingston Solid State Drive,240,SSD,GB,m.2
Kingston Solid State Drive,480,SSD,GB,m.2
Kingston Solid State Drive,120,SSD,GB,m.2
Kingston SSDNow A400 Series 120 GB,120,SSD,GB,2.5
Kingston SSDNow A400 Series 240 GB,240,SSD,GB,2.5
Kingston SSDNow A400 Series 480 GB,480,SSD,GB,2.5
Kingston SSDNow E50 Series,100,SSD,GB,2.5
Kingston SSDNow UV400 Series,480,SSD,GB,2.5
Kingston SSDNow UV400 Series,960,SSD,GB,2.5
Kingston SSDNow UV400 Series,120,SSD,GB,2.5
Kingston SSDNow UV500 Series 120 GB,120,SSD,GB,2.5
Kingston SSDNow UV500 Series 240 GB,240,SSD,GB,2.5
Kingston SSDNow UV500 Series 480 GB,480,SSD,GB,2.5
Kingston SSDNow UV500 Series 960 GB,960,SSD,GB,2.5
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive,240,SSD,GB,m.2
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 120 GB,120,SSD,GB,m.2
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 480 GB,480,SSD,GB,m.2
Kingston SSDNow V300 Series,240,SSD,GB,2.5
Kingston SSDNow V300 Series,480,SSD,GB,2.5
KIOXIA Exceria NVMe Series 1000 GB,1,SSD,TB,m.2
KIOXIA Exceria NVMe Series 250 GB,250,SSD,GB,m.2
KIOXIA Exceria NVMe Series 500 GB,500,SSD,GB,m.2
KIOXIA Exceria Plus NVMe Series 1000 GB,1,SSD,TB,m.2
KIOXIA Exceria Plus NVMe Series 2000 GB,2,SSD,TB,m.2
KIOXIA Exceria Plus NVMe Series 500 GB,500,SSD,GB,m.2
KIOXIA Exceria Series 240 GB,240,SSD,GB,2.5
KIOXIA Exceria Series 480 GB,480,SSD,GB,2.5
KIOXIA Exceria Series 960 GB,960,SSD,GB,2.5
Lexar NM620 512 GB,512,SSD,GB,m.2
Mach Xtreme SATA DOM Solid State Drive,32,SSD,GB,2.5
Mach Xtreme Technology DS Fusion Ultra,120,SSD,GB,2.5
Mach Xtreme Technology DS Turbo PREMIUM Series,120,SSD,GB,2.5
Micron 1100,256,SSD,GB,2.5
Mushkin Element 1000 GB,1,SSD,TB,m.2
Mushkin Element 2000 GB,2,SSD,TB,m.2
Mushkin Element 4000 GB,4,SSD,TB,m.2
Mushkin Element 512 GB,512,SSD,GB,m.2
OCZ TL100  120GB TLC,120,SSD,GB,2.5
OCZ TL100  240GB TLC,240,SSD,GB,2.5
OCZ TR150  480GB TLC,480,SSD,GB,2.5
OCZ TR150  960GB TLC,960,SSD,GB,2.5
OCZ VT180  480GB MLC,480,SSD,GB,2.5
OWC Aura 6G 120GB  MLC low profile  (MacBook Air 2012),120,SSD,GB,2.5
OWC Aura 6G 240GB  MLC low profile  (2010/2011 MacBook Air),240,SSD,GB,2.5
OWC Aura 6G 240GB  MLC low profile  (iMac late 2012),240,SSD,GB,2.5
OWC Aura 6G 240GB  MLC low profile  (MacBook Pro RD Edition),240,SSD,GB,2.5
OWC Aura 6G 480GB  MLC low profile  (iMac late 2012),480,SSD,GB,2.5
OWC Aura 6G 480GB  MLC low profile  (MacBook Pro RD Edition),480,SSD,GB,2.5
OWC Aura 6G 960GB  MLC low profile  (iMac late 2012),960,SSD,GB,2.5
OWC Aura Pro 6G 120GB  MLC low profile  (2010/2011 MacBook Air),120,SSD,GB,2.5
Patriot Blast,480,SSD,GB,2.5
Patriot Burst,120,SSD,GB,2.5
Patriot Burst,240,SSD,GB,2.5
Patriot Flare,120,SSD,GB,2.5
Patriot Flare,60,SSD,GB,2.5
Patriot HellFire,480,SSD,GB,m.2
Patriot HellFire M.2 Solid State Drive,240,SSD,GB,m.2
Patriot Spark,512,SSD,GB,2.5
Patriot Spark,128,SSD,GB,2.5
Patriot Spark,256,SSD,GB,2.5
PNY CS2211,960,SSD,GB,2.5
PNY CS3140 4000 GB,4,SSD,TB,m.2
PNY CS900,120,SSD,GB,2.5
Sabrent Rocket,256,SSD,GB,m.2
Samsung  750 EVO Series 120GB,120,SSD,GB,2.5
Samsung  850 PRO Series 128GB,128,SSD,GB,2.5
Samsung  SM961-NVMe Series 128GB MLC -   - Enterprise,128,SSD,GB,m.2
Samsung 750 Evo Series,250,SSD,GB,2.5
Samsung 750 Evo Series,500,SSD,GB,2.5
Samsung 850 EVO Series,1,SSD,TB,2.5
Samsung 850 EVO Series,2,SSD,TB,2.5
Samsung 850 EVO Series,250,SSD,GB,2.5
Samsung 850 EVO Series,4,SSD,TB,2.5
Samsung 850 EVO Series,500,SSD,GB,2.5
Samsung 850 PRO Series Solid State Drive,256,SSD,GB,2.5
Samsung 850 PRO Series Solid State Drive,512,SSD,GB,2.5
Samsung 850 PRO Series Solid State Drive,1,SSD,TB,2.5
Samsung 850 PRO Series Solid State Drive,2,SSD,TB,2.5
Samsung 860 EVO Series 250 GB,250,SSD,GB,2.5
Samsung 860 EVO Series 4000 GB,4,SSD,TB,2.5
Samsung 860 PRO Series 1000 GB,1,SSD,TB,2.5
Samsung 860 PRO Series 2000 GB,2,SSD,TB,2.5
Samsung 860 PRO Series 256 GB,256,SSD,GB,2.5
Samsung 860 PRO Series 4000 GB,4,SSD,TB,2.5
Samsung 860 PRO Series 512 GB,512,SSD,GB,2.5
Samsung 870 EVO 1000 GB,1,SSD,TB,2.5
Samsung 870 EVO 2000 GB,2,SSD,TB,2.5
Samsung 870 EVO 250 GB,250,SSD,GB,2.5
Samsung 870 EVO 4000 GB,4,SSD,TB,2.5
Samsung 870 EVO 500 GB,500,SSD,GB,2.5
Samsung 870 QVO 1000 GB,1,SSD,TB,2.5
Samsung 870 QVO 2000 GB,2,SSD,TB,2.5
Samsung 870 QVO 4000 GB,4,SSD,TB,2.5
Samsung 870 QVO 8000 GB,8,SSD,TB,2.5
Samsung 960 EVO,250,SSD,GB,m.2
Samsung 960 EVO,500,SSD,GB,m.2
Samsung 960 EVO,1,SSD,TB,m.2
Samsung 960 PRO,512,SSD,GB,m.2
Samsung 960 PRO,1,SSD,TB,m.2
Samsung 960 PRO,2,SSD,TB,m.2
Samsung 970 Evo Plus 250 GB,250,SSD,GB,m.2
Samsung 970 Evo Plus 500 GB,500,SSD,GB,m.2
Samsung 970 PRO 1000 GB,1,SSD,TB,m.2
Samsung 970 PRO 512 GB,512,SSD,GB,m.2
Samsung 980 1000 GB,1,SSD,TB,m.2
Samsung 980 250 GB,250,SSD,GB,m.2
Samsung 980 500 GB,500,SSD,GB,m.2
Samsung 980 PRO Series 250 GB,250,SSD,GB,m.2
Samsung 990 EVO Series 1000 GB,1,SSD,TB,m.2
Samsung 990 EVO Series 2000 GB,2,SSD,TB,m.2
Samsung 990 PRO Series 1000 GB,1,SSD,TB,m.2
Samsung 990 PRO Series 2000 GB,2,SSD,TB,m.2
Samsung PM883 Series 0 GB,0,SSD,GB,2.5
Samsung PM883 Series 0 GB,0,SSD,GB,2.5
Samsung PM883 Series 240 GB,240,SSD,GB,2.5
Samsung PM883 Series 480 GB,480,SSD,GB,2.5
Samsung PM883 Series 960 GB,960,SSD,GB,2.5
Samsung PM897 Series 480 GB,480,SSD,GB,2.5
Samsung PM981 256 GB,256,SSD,GB,m.2
Samsung SM883 Series 0 GB,0,SSD,GB,2.5
Samsung SM883 Series 240 GB,240,SSD,GB,2.5
Samsung SM883 Series 480 GB,480,SSD,GB,2.5
Samsung SM883 Series 960 GB,960,SSD,GB,2.5
SanDisk  Plus 120GB TLC,120,SSD,GB,2.5
SanDisk  Plus 240GB TLC,240,SSD,GB,2.5
SanDisk  Plus 480GB TLC,480,SSD,GB,2.5
SanDisk  Plus 960GB TLC,960,SSD,GB,2.5
SanDisk Ultra II  240GB TLC,240,SSD,GB,2.5
SanDisk Ultra II  480GB TLC,480,SSD,GB,2.5
SanDisk Ultra II  960GB TLC,960,SSD,GB,2.5
Seagate BarraCuda 510 1000 GB,1,SSD,TB,m.2
Seagate BarraCuda 510 512 GB,512,SSD,GB,m.2
Seagate FireCuda 530 1000 GB,1,SSD,TB,m.2
Seagate FireCuda 530 2000 GB,2,SSD,TB,m.2
Seagate FireCuda 530 4000 GB,4,SSD,TB,m.2
Seagate FireCuda 530 500 GB,500,SSD,GB,m.2
Seagate IronWolf 240 GB,240,SSD,GB,m.2
Seagate IronWolf 480 GB,480,SSD,GB,m.2
Seagate IronWolf 960 GB,960,SSD,GB,m.2
Solidigm P44 Pro 1000 GB,1,SSD,TB,m.2
Solidigm P44 Pro 2000 GB,2,SSD,TB,m.2
Solidigm P44 Pro 512 GB,512,SSD,GB,m.2
Team Group DARK L3 Series,60,SSD,GB,2.5
Team Group L5 Lite 3D Series,120,SSD,GB,2.5
Team Group L5 Lite 3D Series,240,SSD,GB,2.5
Team Group L5 Lite 3D Series,480,SSD,GB,2.5
Team Group L5 Lite 3D Series,1,SSD,TB,2.5
Team Group L5 Lite Series,120,SSD,GB,2.5
Team Group L5 Lite Series,240,SSD,GB,2.5
Team Group L5 Lite Series,480,SSD,GB,2.5
Team Group L5 Lite Series,60,SSD,GB,2.5
Team Group L7 EVO Series,120,SSD,GB,2.5
Team Group L7 EVO Series,240,SSD,GB,2.5
Team Group L7 EVO Series 60 GB,60,SSD,GB,2.5
Team Group M.2 Lite Solid State Drive,128,SSD,GB,m.2
Team Group M.2 Solid State Drive,512,SSD,GB,m.2
Team Group M.2 Solid State Drive Lite,256,SSD,GB,m.2
Team Group M.2 Solid State Drive Lite,128,SSD,GB,m.2
Team Group P30,480,SSD,GB,m.2
Team Group P30 240 GB,240,SSD,GB,m.2
Team Group T-Force Delta R 1000 GB,1,SSD,TB,2.5
Team Group T-Force Delta R 1000 GB,1,SSD,TB,2.5
Team Group T-Force Delta RGB 1000 GB,1,SSD,TB,2.5
Team Group T-Force Delta RGB 1000 GB,1,SSD,TB,2.5
Team Group Ultra L3 EVO Series,120,SSD,GB,2.5
Team Group Ultra L3 EVO Series 240 GB,240,SSD,GB,2.5
Toshiba OCZ RD400 Series Solid State Drive,128,SSD,GB,m.2
Toshiba OCZ RD400 Series Solid State Drive,256,SSD,GB,m.2
Toshiba OCZ RD400 Series Solid State Drive,512,SSD,GB,m.2
Toshiba OCZ RD400 Series Solid State Drive,1,SSD,TB,m.2
Toshiba OCZ VX500 Series,1,SSD,TB,2.5
