name,price
Corsair Vengeance LP DDR3-1600 CL9,24.99
Corsair Vengeance LPX,134.95
Corsair Vengeance LPX Black DDR4-2133  CL13,177.99
Corsair Vengeance LPX Black DDR4-3200  CL16,104.99
Corsair Vengeance LPX blue DDR4-2133  CL13,136.87
Corsair Vengeance LPX Blue DDR4-2400  CL14,98.1
Corsair Vengeance LPX DDR4-2800 CL16  - red,110.75
Corsair Vengeance LPX DDR4-2800 CL16  - black,124.29
Corsair Vengeance LPX DDR4-2800 black CL16,278.92
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",526.99
"Corsair Vengeance LPX red + AF, DDR4-3733, CL 17 - 16 GB Dual Kit",256.99
"Corsair Vengeance LPX red + AF, DDR4-3733, CL 17 - 32 GB Quad Kit",511.99
"Corsair Vengeance LPX red + AF, DDR4-3866, CL 18 - 16 GB Quad Kit",532.79
Corsair Vengeance LPX red DDR4-2133  CL13,144.99
Corsair Vengeance LPX red DDR4-2133MHz CL13,41.99
Corsair Vengeance LPX red DDR4-3200  CL16,149.99
Corsair Vengeance LPX red DDR4-3200MHz CL16,109.99
Corsair Vengeance LPX black,44.99
Corsair Vengeance LPX black,49.97
Corsair Vengeance LPX black,49.99
Corsair Vengeance LPX black,79.99
Corsair Vengeance LPX black,83.7
Corsair Vengeance LPX black,144.99
Corsair Vengeance LPX black,164.99
Corsair Vengeance LPX black,169.99
Corsair Vengeance LPX black,314.99
Corsair Vengeance LPX black,426.99
Corsair Vengeance LPX black + AF,235.99
"Corsair Vengeance LPX black + AF, DDR4-3600, CL 18 - 16 GB Quad Kit",131.56
"Corsair Vengeance LPX black + AF, DDR4-3600, CL 18 - 8 GB Dual Kit",136.99
"Corsair Vengeance LPX black + AF, DDR4-3733, CL 17 - 16 GB Quad Kit",291.99
Corsair Vengeance LPX black DDR4-2133  CL13,405.99
Corsair Vengeance LPX black DDR4-2133MHz CL13,47.83
Corsair Vengeance LPX Series blue DDR4-2666,141.99
Corsair Vengeance LPX Series red,139.99
Corsair Vengeance LPX Series red DDR4-2400,46.99
