name,price
Gigabyte GeForce GTX 1050 WindForce 2X,159.99
Gigabyte GeForce GTX 1060 Aorus Xtreme 6G,359.99
Gigabyte GeForce GTX 1060 G1 Gaming,149.99
Gigabyte GeForce GTX 1060 G1 Gaming,149.99
Gigabyte GeForce GTX 1060 Mini ITX OC 6G,299.99
Gigabyte GeForce GTX 1060 OC WindForce 2X,220.99
Gigabyte GeForce GTX 1060 OC WindForce 2X,299.99
Gigabyte GeForce GTX 1060 Xtreme Gaming,304.99
Gigabyte GeForce GTX 1070 Aorus Gaming Box,599.99
Gigabyte GeForce GTX 1070 Founders Edition,423.41
Gigabyte GeForce GTX 1070 G1 Gaming,319.99
Gigabyte GeForce GTX 1070 Mini ITX OC,499.99
Gigabyte GeForce GTX 1070 OC WindForce 2X,329.99
Gigabyte GeForce GTX 1070 Ti Aorus 8G,506.61
Gigabyte GeForce GTX 1070 Ti Gaming 8G,419.99
Gigabyte GeForce GTX 1080 Aorus 8G,769.17
Gigabyte GeForce GTX 1080 Aorus Xtreme 8G,798.26
Gigabyte GeForce GTX 1080 G1 Gaming,749.0
Gigabyte GeForce GTX 1080 Mini ITX 8G,439.48
Gigabyte GeForce GTX 1080 Ti Aorus 11G,1012.97
Gigabyte GeForce GTX 1080 Ti Aorus Xtreme 11G,1009.99
Gigabyte GeForce GTX 1080 Ti Founders Edition,739.97
Gigabyte GeForce GTX 1080 Ti Gaming OC,739.99
Gigabyte GeForce GTX 1080 Ti Gaming OC Black,719.99
Gigabyte GeForce GTX 1080 Ti Turbo,839.99
Gigabyte GeForce GTX 1080 Ti Waterforce W Xtreme 11G,959.99
Gigabyte GeForce GTX 1080 WindForce OC 8G,543.3
Gigabyte GeForce GTX 1080 Xtreme Gaming Premium Pack,849.0
Gigabyte GeForce GTX 1080 Xtreme Gaming Water Cooling,549.99
Gigabyte GeForce GTX 1650 D6 OC,178.75
Gigabyte GeForce GTX 1650 D6 WindForce OC,249.99
"Gigabyte GeForce GTX 1650 Mini ITX OC 4G, 4096 MB GDDR5",149.99
"Gigabyte GeForce GTX 1650 OC 4G, 4096 MB GDDR5",104.99
Gigabyte GeForce GTX 1650 Super OC,151.99
"Gigabyte GeForce GTX 1650 WindForce OC 4G, 4096 MB GDDR5",129.99
Gigabyte GeForce GTX 1660 Gaming,239.99
Gigabyte GeForce GTX 1660 Gaming OC,239.99
Gigabyte GeForce GTX 1660 OC,229.99
Gigabyte GeForce GTX 1660 Super Gaming OC,249.99
Gigabyte GeForce GTX 1660 Super OC,239.99
Gigabyte GeForce GTX 1660 Ti Gaming OC 6G,299.99
Gigabyte GeForce GTX 1660 Ti Mini ITX OC 6G,279.99
Gigabyte GeForce GTX 1660 Ti OC 6G,279.99
Gigabyte GeForce GTX 1660 Ti WindForce OC 6G,239.99
Gigabyte GeForce RTX 2060 D6,259.99
Gigabyte GeForce RTX 2060 Gaming OC 6G,379.99
Gigabyte GeForce RTX 2060 Gaming OC Pro 6G,389.99
Gigabyte GeForce RTX 2060 Mini ITX OC 6G,349.99
Gigabyte GeForce RTX 2060 OC 6G,289.99
Gigabyte GeForce RTX 2060 Super Gaming OC,351.99
Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8G White,359.99
Gigabyte GeForce RTX 2060 Super WindForce OC,399.99
Gigabyte GeForce RTX 2060 WindForce OC 6G,275.99
Gigabyte GeForce RTX 2070 Super Gaming OC 3X,499.99
Gigabyte GeForce RTX 2070 Super Gaming OC 3X 8G White,450.99
